Name,Brand,Color,Fuel,Gearbox,Year,Km,Fuel_consumption,Co2_emission,Doors,Price
Renault Kadjar,Renault,Rouge Flamme,Diesel,Manuelle,2015,80836,3,103,5,14 499
Renault Mégane 4,Renault,Noir Etoile,Diesel,Manuelle,2016,128764,3.7,95,5,12 799
Fiat 500,Fiat,Crossover Black,Essence,Manuelle,2016,60534,4.9,115,3,10 499
Opel Corsa,Opel,Gris Astéroïde,Essence,Manuelle,2018,52140,5,120,5,12 999
Nissan Qashqai,Nissan,Rouge Toscane,Essence,Manuelle,2017,84779,5.6,129,5,14 999
DS DS3,DS,Blanc Banquise/Brun Topaze,Essence,Manuelle,2016,52323,4.3,104,3,10 799
Nissan Juke,Nissan,Noir Métallisé,Essence,Manuelle,2017,108505,5.7,130,5,10 799
Nissan Juke,Nissan,Noir Métallisé,Essence,Manuelle,2014,44888,5.8,139,5,11 299
Ford Focus,Ford,Blanc Metropolis,Diesel,Manuelle,2019,121982,4.3,90,5,11 999
Audi A1 Sportback,Audi,Rouge Shiraz,Essence,Manuelle,2016,110386,5.1,118,5,14 499
Nissan Micra,Nissan,Gris,Essence,Manuelle,2018,47968,3.8,103,5,12 199
Fiat 500X,Fiat,Rouge Passione,Essence,Manuelle,2015,61045,6,139,5,12 499
Mercedes Classe A,Mercedes,Noir Cosmos,Essence,Automatique,2015,100794,5.4,119,5,16 999
Citroën C3 Picasso,Citroën,Gris Shark,Essence,Manuelle,2017,79395,5,115,5,11 399
Volkswagen Tiguan,Volkswagen,Gris poivre,Diesel,Manuelle,2014,131579,5.3,138,5,14 999
Kia Sportage,Kia,Blanc Céleste,Essence,Manuelle,2015,89900,6.4,149,5,14 499
Audi A1 Sportback,Audi,Noir Brillant,Essence,Manuelle,2017,52058,4.2,97,5,15 999
Seat Leon,Seat,Noir Minuit,Essence,Manuelle,2020,74731,5.6,129,5,14 499
Opel Mokka X,Opel,Blanc Glacier,Essence,Manuelle,2017,89862,6,140,5,11 999
Opel Adam,Opel,Rouge,Essence,Manuelle,2019,22600,5.6,128,3,11 699
Dacia Lodgy,Dacia,Gris Comète,Essence,Manuelle,2016,50945,5.5,124,5,13 299
Fiat Panda,Fiat,Jaune Sole,Essence,Manuelle,2020,18743,4.5,134,5,13 299
Renault Mégane 4 Estate,Renault,Gris Platine,Essence,Manuelle,2017,63039,5.4,119,5,13 999
Ford C-Max,Ford,Blanc,Essence,Manuelle,2018,55806,5.6,127,5,12 299
Audi A3 Sportback,Audi,Noir Mythic,Diesel,Automatique,2016,127930,4.6,121,5,17 399
Renault Clio 4 Estate,Renault,Noir Etoile,Essence,Manuelle,2017,26473,5,118,5,13 999
Dacia Logan MCV,Dacia,Brun Vison,Essence,Manuelle,2019,25794,4,121,5,12 999
Hyundai Tucson,Hyundai,Platinium Silver,Diesel,Manuelle,2018,52576,4.6,119,5,17 999
Ford C-Max,Ford,,Diesel,Automatique,2017,111560,,,,12 999
Dacia SPRING,Dacia,Bleu Cenote,Electrique,Automatique,2021,3390,0.0,0,5,14 499
Hyundai Kona,Hyundai,Pulse Red,Essence,Manuelle,2019,71875,6.4,122,5,14 299
